地域,センター,燃やすごみ,燃やさないごみ,資源ごみ,プラスチック系ごみ,危険・有害物
泉,,月 水 金,土2 土4,火,木,土1
岩井,,月 水 金,木2 木4,土,火,木1
大井,,月 水 金,木2 木4,土,火,木1
大島田,,火 木 土,金2 金4,水,月,金1
大津ヶ丘1丁目,,火 木 土,金2 金4,水,月,金1
大津ヶ丘2丁目,,火 木 土,金2 金4,水,月,金1
大津ヶ丘3丁目,,火 木 土,金2 金4,水,月,金1
大津ヶ丘4丁目,,火 木 土,月2 月4,金,水,月1
風早1丁目,,火 木 土,月2 月4,金,水,月1
風早2丁目,,火 木 土,月2 月4,金,水,月1
片山,,月 水 金,土2 土4,火,木,土1
金山,,月 水 金,土2 土4,火,木,土1
高南台1丁目,,月 水 金,火2 火4,木,土,火1
高南台2丁目,,月 水 金,火2 火4,木,土,火1
高南台3丁目,,月 水 金,火2 火4,木,土,火1
五條谷,,月 水 金,木2 木4,土,火,木1
しいの木台1丁目,,月 水 金,火2 火4,木,土,火1
しいの木台2丁目,,月 水 金,火2 火4,木,土,火1
しいの木台3丁目,,月 水 金,火2 火4,木,土,火1
しいの木台4丁目,,月 水 金,火2 火4,木,土,火1
しいの木台5丁目,,月 水 金,火2 火4,木,土,火1
染井入新田,,月 水 金,土2 土4,火,木,土1
高柳,,火 木 土,水2 水4,月,金,水1
高柳新田,,月 水 金,火2 火4,木,土,火1
塚崎,,火 木 土,月2 月4,金,水,月1
塚崎1丁目,,火 木 土,月2 月4,金,水,月1
塚崎2丁目,,火 木 土,月2 月4,金,水,月1
塚崎3丁目,,火 木 土,月2 月4,金,水,月1
手賀,,月 水 金,土2 土4,火,木,土1
手賀の杜1丁目,,月 水 金,木2 木4,土,火,木1
手賀の杜2丁目,,月 水 金,木2 木4,土,火,木1
手賀の杜3丁目,,月 水 金,木2 木4,土,火,木1
手賀の杜4丁目,,月 水 金,木2 木4,土,火,木1
手賀の杜5丁目,,月 水 金,木2 木4,土,火,木1
藤ケ谷,,月 水 金,土2 土4,火,木,土1
藤ケ谷(1900番台）,,火 木 土,月2 月4,金,水,月1
藤ヶ谷新田,,火 木 土,月2 月4,金,水,月1
布瀬,,月 水 金,土2 土4,火,木,土1
緑台,,月 水 金,木2 木4,土,火,木1
南高柳,,火 木 土,水2 水4,月,金,水1
箕輪,,月 水 金,木2 木4,土,火,木1
柳戸,,月 水 金,土2 土4,火,木,土1
若白毛,,月 水 金,木2 木4,土,火,木1
鷲野谷,,月 水 金,土2 土4,火,木,土1
鷲野谷(1030～1040番台),,月 水 金,木2 木4,土,火,木1
